Standardised_Smiles,Target
Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,0
CCCCCC1C(=O)CCC1CC(=O)O,0
Cc1cc(=O)n(-c2ccccc2)n1C,0
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,0
O=c1ccc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc2o1,0
Nc1ccc(C(=O)O)cc1,0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,0
Nc1ccc(C(=O)O)c(O)c1,0
CS(=O)(=O)OCCCCOS(C)(=O)=O,0
CCCc1cc(C(N)=S)ccn1,0
O=c1cc[nH]c(=S)[nH]1,0
CC(COc1ccc(C=Cc2ccccc2)cc1)[N+](C)(C)C,0
CCCCCCCCCC(=O)NC(CN1CCOCC1)C(O)c1ccccc1,0
CC[N+](CC)(CC)CC,0
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0
Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,0
C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0
C[N+]1(C)CCN(c2ccccc2)CC1,0
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,0
Cc1nccc2c1[nH]c1ccccc12,0
Nc1ccc(-c2nc3ccc(-c4nc5ccc(N)cc5[nH]4)cc3[nH]2)cc1,0
CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1,0
c1ccc(CN(Cc2ncc[nH]2)c2ccccc2)cc1,0
CC(N)Cc1cnc[nH]1,0
Cc1cn[nH]c1,0
CCCN1CCCC2Cc3[nH]ncc3CC21,0
CC1(C)CCC=[N+]1[O-],0
C[N+](C)(C)CC=O,0
O=C1OC(=CBr)CCC1c1cccc2ccccc12,0
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr,0
CCN(CC)c1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Br)(Br)P(=O)(O)O)C(O)C1O,0
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,0
O=[N+]([O-])c1cccc2c(Br)[nH]nc12,0
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,0
CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,0
Brc1c(Br)c(Br)c2n[nH]nc2c1Br,0
C=CCN1CCc2c(cc(O)c(O)c2Br)C(c2ccccc2)C1,0
CC(N)CN1CCc2ccc(Br)cc21,0
O=c1onc2n1-c1cc(Br)ccc1OC2,0
O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12,0
Brc1ccc(C2CN3CCSC3=N2)cc1,0
CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,0
O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12,0
CC[N+](C)(C)Cc1ccccc1Br,0
CCN(CCCl)Cc1ccccc1Br,0
Nc1nc2c(nc(Br)n2C2OC3COP(=O)(O)OC3C2O)c(=O)[nH]1,0
Nc1ncnc2c1nc(Br)n2C1OC2COP(=O)(O)OC2C1O,0
C=CCc1ccccc1OCC(O)CNC1(C)CCCC(C(C)(C)NC(=O)CBr)C1,0
C[N+](C)(C)CCOC(=O)CBr,0
CC(=O)NBr,0
O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,0
NC(CCl)C(=O)O,0
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,0
CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,0
CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(Cl)cc(Cl)cn12,0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO,0
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0
CC(N)c1cccc(Cl)c1Cl,0
CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl,0
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,0
CC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,0
CCCCC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,0
O=C(O)C(=Cc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)c1ccccc1,0
Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1,0
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,0
Oc1cc2c(c(Cl)c1O)CCNCC2c1ccccc1,0
CN1CCc2c(cc(O)c(O)c2Cl)C(c2cccc(Cl)c2)C1,0
C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1,0
O=S(=O)(c1cccc2c(Cl)cccc12)N1CCCNCC1,0
NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,0
NCCNS(=O)(=O)c1cccc2c(Cl)cccc12,0
O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1,0
CN1CCc2cccc(Cl)c2CC1,0
CC1C(=O)NC2=Nc3cccc(Cl)c3CN21,0
CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O,0
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,0
NC(N)=NC(N)=Nc1cccc(Cl)c1,0
C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,0
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0
CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC,0
COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCC1,0
CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1,0
CN1C2CCC1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2,0
CN(CCCl)Cc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,0
CCc1cc(Cl)c(OC)c(C(=O)NCC2CCN(CC)C2)c1O,0
CC(Cc1ccc2c(c1)OC(C(=O)O)(C(=O)O)O2)NCC(O)c1cccc(Cl)c1,0
CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1cccc(Cl)c1,0
Cn1c(=O)c2c(nc(C=Cc3cccc(Cl)c3)n2C)n(C)c1=O,0
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0
CNC1CC(c2ccc(Cl)c(Cl)c2)c2ccccc21,0
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,0
CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,0
NC(=NCc1ccc(Cl)c(Cl)c1)NC(=O)c1nc(Cl)c(N)nc1N,0
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1cccc(OCC(=O)O)c1,0
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCC2(CCCO2)CC1N1CCCC1,0
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCCC1,0
COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,0
O=C(Cc1ccc(Cl)c(Cl)c1)OCCN1CCCC1,0
CCN1CCCC1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,0
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4C)O3)cc2)CC1,0
Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,0
Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1,0
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,0
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,0
Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,0
Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1,0
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0
Clc1cccc(N2CCNCC2)c1,0
COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12,0
O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,0
CCn1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21,0
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0
